model,dataset,run,problem_attempt,successful_problem
lp,test12,1,1,mathd_algebra_329
lp,test12,1,2,amc12a_2021_p3
lp,test12,1,5,mathd_algebra_184
lp,test12,1,24,numbertheory_sqmod3in01d
lp,test12,2,1,mathd_algebra_329
lp,test12,2,1,amc12a_2021_p3
lp,test12,2,5,mathd_algebra_184
lp,test12,3,1,mathd_algebra_329
lp,test12,3,3,amc12a_2021_p3
lp,test12,3,10,mathd_algebra_184
lp,test12,3,38,numbertheory_sqmod3in01d
lp,test12,3,40,mathd_algebra_484
dsp,test12,1,1,amc12a_2021_3
dsp,test12,1,1,mathd_algebra_329
dsp,test12,1,2,mathd_algebra_184
dsp,test12,2,1,amc12a_2021_3
dsp,test12,2,1,mathd_algebra_329
dsp,test12,2,2,mathd_algebra_184
dsp,test12,3,1,amc12a_2021_3
dsp,test12,3,1,mathd_algebra_329
dsp,test12,3,4,mathd_algebra_184
