model,dataset,run,problem_attempt,successful_problem
dsp,test12,1,2,mathd_algebra_329
dsp,test12,1,14,amc12a_2021_3
dsp,test12,2,5,mathd_algebra_329
dsp,test12,2,15,amc12a_2021_3
dsp,test12,2,17,mathd_algebra_184
dsp,test12,3,1,mathd_algebra_329
dsp,test12,3,19,amc12a_2021_3
lp,test12,1,1,mathd_algebra_329
lp,test12,1,1,mathd_algebra_184
lp,test12,1,1,amc12a_2021_p3
lp,test12,1,10,mathd_numbertheory_85
lp,test12,1,49,numbertheory_sqmod3in01d
lp,test12,2,1,mathd_algebra_329
lp,test12,2,6,mathd_algebra_184
lp,test12,2,14,amc12a_2021_p3
lp,test12,2,35,mathd_numbertheory_85
lp,test12,3,1,mathd_algebra_329
lp,test12,3,2,amc12a_2021_p3
lp,test12,3,3,mathd_algebra_184
lp,test12,3,22,mathd_numbertheory_85
