model,dataset,run,problem_attempt,successful_problem
dsp,test24,1,1,mathd_algebra_44
dsp,test24,1,1,mathd_algebra_246
dsp,test24,1,2,mathd_numbertheory_435
dsp,test24,1,2,mathd_numbertheory_222
dsp,test24,1,3,mathd_algebra_137
dsp,test24,1,4,mathd_algebra_388
dsp,test24,2,1,mathd_algebra_44
dsp,test24,2,2,mathd_algebra_137
dsp,test24,2,2,mathd_numbertheory_222
dsp,test24,2,2,mathd_algebra_388
dsp,test24,2,2,mathd_algebra_246
dsp,test24,2,14,mathd_numbertheory_435
dsp,test24,2,200,amc12b_2020_22
dsp,test24,3,1,mathd_algebra_44
dsp,test24,3,2,mathd_algebra_137
dsp,test24,3,2,mathd_numbertheory_222
dsp,test24,3,2,mathd_algebra_246
dsp,test24,3,4,mathd_algebra_388
dsp,test24,3,14,mathd_numbertheory_435
