model,dataset,run,problem_attempt,successful_problem
dsp,test24,1,1,mathd_algebra_44
dsp,test24,1,1,mathd_algebra_246
dsp,test24,1,2,mathd_numbertheory_435
dsp,test24,1,2,mathd_numbertheory_222
dsp,test24,1,3,mathd_algebra_137
dsp,test24,1,4,mathd_algebra_388
dsp,test24,2,1,mathd_algebra_44
dsp,test24,2,2,mathd_algebra_137
dsp,test24,2,2,mathd_numbertheory_222
dsp,test24,2,2,mathd_algebra_388
dsp,test24,2,2,mathd_algebra_246
dsp,test24,2,14,mathd_numbertheory_435
dsp,test24,3,1,mathd_algebra_44
dsp,test24,3,2,mathd_algebra_137
dsp,test24,3,2,mathd_numbertheory_222
dsp,test24,3,2,mathd_algebra_246
dsp,test24,3,4,mathd_algebra_388
dsp,test24,3,14,mathd_numbertheory_435
lp,test24,1,1,mathd_numbertheory_222
lp,test24,1,1,mathd_algebra_44
lp,test24,1,2,mathd_algebra_388
lp,test24,1,3,mathd_algebra_246
lp,test24,1,4,mathd_algebra_137
lp,test24,1,5,mathd_numbertheory_435
lp,test24,1,34,mathd_numbertheory_207
lp,test24,2,1,mathd_numbertheory_222
lp,test24,2,1,mathd_algebra_137
lp,test24,2,1,mathd_algebra_388
lp,test24,2,1,mathd_algebra_44
lp,test24,2,1,mathd_algebra_246
lp,test24,2,9,mathd_algebra_400
lp,test24,2,22,mathd_numbertheory_435
lp,test24,3,1,mathd_algebra_388
lp,test24,3,2,mathd_numbertheory_222
lp,test24,3,2,mathd_algebra_44
lp,test24,3,3,mathd_algebra_137
lp,test24,3,4,mathd_algebra_246
lp,test24,3,30,mathd_numbertheory_435
lp,test24,3,49,amc12a_2002_p13
